time,symbol,amount,value_pct
2023-01-22 00:00:00,ETH,14.079266758722273,16.98859138868185
2023-01-21 23:45:00,ETH,14.079266758722273,16.971957722272176
2023-01-21 23:30:00,ETH,14.079266758722273,16.936589821678176
2023-01-21 23:15:00,ETH,14.079266758722273,16.938253049095234
2023-01-21 23:00:00,ETH,14.079266758722273,16.91221332371014
2023-01-21 22:45:00,ETH,14.079266758722273,16.90018022168913
2023-01-21 22:30:00,ETH,14.079266758722273,16.685499261319112
2023-01-21 22:15:00,ETH,14.079266758722273,16.692672269287165
2023-01-21 22:00:00,ETH,14.079266758722273,16.699535666464673
2023-01-21 21:45:00,ETH,14.079266758722273,20.093004676606206
2023-01-21 21:30:00,ETH,14.079266758722273,20.257592671604264
2023-01-21 21:15:00,ETH,14.079266758722273,20.336275730868316
2023-01-21 21:00:00,ETH,14.079266758722273,20.31651463060681
2023-01-21 20:45:00,ETH,14.079266758722273,20.33227177620593
2023-01-21 20:30:00,ETH,14.079266758722273,20.31661042101262
2023-01-21 20:15:00,ETH,14.079266758722273,20.314675417036035
2023-01-21 20:00:00,ETH,14.079266758722273,20.29333638351425
2023-01-21 19:45:00,ETH,14.079266758722273,20.315239200913844
2023-01-21 19:30:00,ETH,14.079266758722273,20.42543958499867
2023-01-21 19:15:00,ETH,14.079266758722273,20.473223068827306
2023-01-21 19:00:00,ETH,14.079266758722273,20.50156163472721
2023-01-21 18:45:00,ETH,14.079266758722273,20.525824712602265
2023-01-21 18:30:00,ETH,14.079266758722273,20.515470317277977
2023-01-21 18:15:00,ETH,14.079266758722273,20.529292741527478
2023-01-21 18:00:00,ETH,13.668607173410859,20.11878358922733
2023-01-21 17:45:00,ETH,13.668607173410859,20.09487503735528
2023-01-21 17:30:00,ETH,13.668607173410859,20.089219577597834
2023-01-21 17:15:00,ETH,13.668607173410859,20.075044089877906
2023-01-21 17:00:00,ETH,13.668607173410859,20.173962718831977
2023-01-21 16:45:00,ETH,13.668607173410859,20.179776098003565
2023-01-21 16:30:00,ETH,13.668607173410859,20.159358931859636
2023-01-21 16:15:00,ETH,13.668607173410859,20.181601498107977
2023-01-21 16:00:00,ETH,13.668607173410859,20.172624481207308
2023-01-21 15:45:00,ETH,13.668607173410859,20.229699462892963
2023-01-21 15:30:00,ETH,13.668607173410859,20.20896301142952
2023-01-21 15:15:00,ETH,13.668607173410859,20.176799236288357
2023-01-21 15:00:00,ETH,13.668607173410859,20.13143553126927
2023-01-21 14:45:00,ETH,13.668607173410859,20.134763699284594
2023-01-21 14:30:00,ETH,13.668607173410859,20.112823097824215
2023-01-21 14:15:00,ETH,13.668607173410859,20.107703902453743
2023-01-21 14:00:00,ETH,13.668607173410859,20.12941312451522
2023-01-21 13:45:00,ETH,13.668607173410859,20.082112616085197
2023-01-21 13:30:00,ETH,13.668607173410859,20.270566705169294
2023-01-21 13:15:00,ETH,13.668607173410859,20.27873352171716
2023-01-21 13:00:00,ETH,13.668607173410859,20.297607514742317
2023-01-21 12:45:00,ETH,13.668607173410859,20.29581208176626
2023-01-21 12:30:00,ETH,13.668607173410859,20.244346306286626
2023-01-21 12:15:00,ETH,13.668607173410859,20.286835941238277
2023-01-21 12:00:00,ETH,13.668607173410859,20.28885771925864
2023-01-21 11:45:00,ETH,13.668607173410859,20.301906497705243
2023-01-21 11:30:00,ETH,13.668607173410859,20.32736903072179
2023-01-21 11:15:00,ETH,13.668607173410859,20.101163915040903
2023-01-21 11:00:00,ETH,13.668607173410859,19.87568853031358
2023-01-21 10:45:00,ETH,13.668607173410859,19.85268341713343
2023-01-21 10:30:00,ETH,13.668607173410859,19.88066379503919
2023-01-21 10:15:00,ETH,13.668607173410859,19.886215409782036
2023-01-21 10:00:00,ETH,13.668607173410859,19.891936107861525
2023-01-21 09:45:00,ETH,13.668607173410859,19.880234471930507
2023-01-21 09:30:00,ETH,13.668607173410859,19.86864479717873
2023-01-21 09:15:00,ETH,13.668607173410859,19.90349330422298
2023-01-21 09:00:00,ETH,13.668607173410859,19.90365894749769
2023-01-21 08:45:00,ETH,13.668607173410859,19.943515967758476
2023-01-21 08:30:00,ETH,13.668607173410859,19.89932709066962
2023-01-21 08:15:00,ETH,13.668607173410859,19.92120701497983
2023-01-21 08:00:00,ETH,13.668607173410859,19.929197977671585
2023-01-21 07:45:00,ETH,13.668607173410859,19.927807356616096
2023-01-21 07:30:00,ETH,13.668607173410859,19.992505590041404
2023-01-21 07:15:00,ETH,13.668607173410859,20.235582554216432
2023-01-21 07:00:00,ETH,13.668607173410859,20.233760089956153
2023-01-21 06:45:00,ETH,13.668607173410859,20.274767931160294
2023-01-21 06:30:00,ETH,13.668607173410859,20.28531994547445
2023-01-21 06:15:00,ETH,13.668607173410859,20.362182575157437
2023-01-21 06:00:00,ETH,13.668607173410859,20.32984126592189
2023-01-21 05:45:00,ETH,13.668607173410859,20.323579483802057
2023-01-21 05:30:00,ETH,13.668607173410859,20.30660189919607
2023-01-21 05:15:00,ETH,13.668607173410859,20.28909173830581
2023-01-21 05:00:00,ETH,13.668607173410859,20.32712947212741
2023-01-21 04:45:00,ETH,13.668607173410859,20.360951261902823
2023-01-21 04:30:00,ETH,13.668607173410859,20.309131285769265
2023-01-21 04:15:00,ETH,13.668607173410859,20.293045551756645
2023-01-21 04:00:00,ETH,13.668607173410859,20.097745826300525
2023-01-21 03:45:00,ETH,13.668607173410859,20.08357556278399
2023-01-21 03:30:00,ETH,13.668607173410859,20.082013885313327
2023-01-21 03:15:00,ETH,13.668607173410859,20.08142243836403
